,mean,var,scale
177,-2.122005e-06,0.0058155,0.07625943
178,2.6568975e-06,0.0056721466,0.07531366
179,-2.7569915e-06,0.005526534,0.074340664
180,5.335391,0.05857695,0.24202675
181,-0.00038254936,0.0004903505,0.02214386
182,-2.721123e-06,0.0013326085,0.03650491
183,0.6860446,0.2153874,0.46409848
184,-5.709987,34.812016,5.900171
185,-2.9812772,9.549036,3.0901515
186,-2.7313726,7.4313817,2.726056
187,-2.5510786,5.7909856,2.4064467
188,-2.4236479,5.1178,2.2622557
189,8.7592656e-05,2.8221457,1.6799244
190,6.5402215e-05,1.4582422,1.207577
191,7.952037e-05,1.3361166,1.1559051
192,7.123502e-05,1.1831943,1.0877473
193,7.198078e-05,1.0864886,1.0423477
194,0.00030453727,15.22294,3.9016588
195,0.00026995092,11.048062,3.3238626
196,0.00025263143,10.716507,3.2736077
197,0.0002567966,9.890079,3.1448495
198,0.0002620092,9.170584,3.0282972
